graph_id,src,dst
0,0,1
0,0,7
0,1,0
0,1,2
0,1,8
0,2,1
0,2,3
0,2,4
0,3,2
0,4,2
0,4,5
0,5,4
0,5,6
0,5,7
0,6,5
0,7,0
0,7,5
0,8,1
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
1,0,1
1,0,4
1,1,0
1,1,2
1,2,1
1,2,3
1,2,9
1,3,2
1,3,4
1,3,5
1,4,0
1,4,3
1,5,3
1,5,6
1,5,7
1,6,5
1,7,5
1,7,8
1,8,7
1,8,9
1,8,10
1,9,2
1,9,8
1,10,8
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
2,0,1
2,1,0
2,1,2
2,1,24
2,2,1
2,2,3
2,2,33
2,3,2
2,3,4
2,3,5
2,4,3
2,5,3
2,5,6
2,6,5
2,6,7
2,6,30
2,7,6
2,7,8
2,7,9
2,8,7
2,9,7
2,9,10
2,9,13
2,10,9
2,10,11
2,11,10
2,11,12
2,12,11
2,12,13
2,13,9
2,13,12
2,13,14
2,14,13
2,14,15
2,14,16
2,15,14
2,16,14
2,16,17
2,16,29
2,17,16
2,17,18
2,18,17
2,18,19
2,18,20
2,19,18
2,20,18
2,20,21
2,20,28
2,21,20
2,21,22
2,21,25
2,22,21
2,22,23
2,22,24
2,23,22
2,24,1
2,24,22
2,25,21
2,25,26
2,25,27
2,26,25
2,27,25
2,28,20
2,29,16
2,30,6
2,30,31
2,30,32
2,31,30
2,32,30
2,33,2
2,33,34
2,34,33
2,34,35
2,34,36
2,35,34
2,36,34
2,36,37
2,36,42
2,37,36
2,37,38
2,37,89
2,38,37
2,38,39
2,38,40
2,39,38
2,40,38
2,40,41
2,40,88
2,41,40
2,41,42
2,41,50
2,42,36
2,42,41
2,42,43
2,43,42
2,43,44
2,44,43
2,44,45
2,44,49
2,45,44
2,45,46
2,45,52
2,46,45
2,46,47
2,47,46
2,47,48
2,48,47
2,48,49
2,48,51
2,49,44
2,49,48
2,49,50
2,50,41
2,50,49
2,51,48
2,52,45
2,52,53
2,52,54
2,53,52
2,54,52
2,54,55
2,55,54
2,55,56
2,55,77
2,56,55
2,56,57
2,56,87
2,57,56
2,57,58
2,58,57
2,58,59
2,58,60
2,59,58
2,60,58
2,60,61
2,60,84
2,61,60
2,61,62
2,61,83
2,62,61
2,62,63
2,62,64
2,63,62
2,64,62
2,64,65
2,65,64
2,65,66
2,65,82
2,66,65
2,66,67
2,66,68
2,67,66
2,68,66
2,68,69
2,68,72
2,69,68
2,69,70
2,70,69
2,70,71
2,71,70
2,71,72
2,72,68
2,72,71
2,72,73
2,73,72
2,73,74
2,73,75
2,74,73
2,75,73
2,75,76
2,75,79
2,76,75
2,76,77
2,77,55
2,77,76
2,77,78
2,78,77
2,79,75
2,79,80
2,79,81
2,80,79
2,81,79
2,82,65
2,83,61
2,84,60
2,84,85
2,84,86
2,85,84
2,86,84
2,87,56
2,88,40
2,89,37
2,0,0
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
2,11,11
2,12,12
2,13,13
2,14,14
2,15,15
2,16,16
2,17,17
2,18,18
2,19,19
2,20,20
2,21,21
2,22,22
2,23,23
2,24,24
2,25,25
2,26,26
2,27,27
2,28,28
2,29,29
2,30,30
2,31,31
2,32,32
2,33,33
2,34,34
2,35,35
2,36,36
2,37,37
2,38,38
2,39,39
2,40,40
2,41,41
2,42,42
2,43,43
2,44,44
2,45,45
2,46,46
2,47,47
2,48,48
2,49,49
2,50,50
2,51,51
2,52,52
2,53,53
2,54,54
2,55,55
2,56,56
2,57,57
2,58,58
2,59,59
2,60,60
2,61,61
2,62,62
2,63,63
2,64,64
2,65,65
2,66,66
2,67,67
2,68,68
2,69,69
2,70,70
2,71,71
2,72,72
2,73,73
2,74,74
2,75,75
2,76,76
2,77,77
2,78,78
2,79,79
2,80,80
2,81,81
2,82,82
2,83,83
2,84,84
2,85,85
2,86,86
2,87,87
2,88,88
2,89,89
3,0,1
3,0,4
3,1,0
3,1,2
3,2,1
3,2,3
3,2,13
3,3,2
3,3,4
3,3,10
3,4,0
3,4,3
3,4,5
3,5,4
3,5,6
3,6,5
3,6,7
3,7,6
3,7,8
3,8,7
3,8,9
3,9,8
3,10,3
3,10,11
3,11,10
3,11,12
3,11,15
3,12,11
3,12,13
3,13,2
3,13,12
3,13,14
3,14,13
3,15,11
3,0,0
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,7
3,8,8
3,9,9
3,10,10
3,11,11
3,12,12
3,13,13
3,14,14
3,15,15
4,0,1
4,0,5
4,1,0
4,1,2
4,2,1
4,2,3
4,2,18
4,3,2
4,3,4
4,3,8
4,4,3
4,4,5
4,4,6
4,5,0
4,5,4
4,6,4
4,6,7
4,6,9
4,7,6
4,7,8
4,8,3
4,8,7
4,9,6
4,9,10
4,9,13
4,10,9
4,10,11
4,10,17
4,11,10
4,11,12
4,11,16
4,12,11
4,12,13
4,12,14
4,13,9
4,13,12
4,14,12
4,14,15
4,15,14
4,16,11
4,17,10
4,18,2
4,0,0
4,1,1
4,2,2
4,3,3
4,4,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,10
4,11,11
4,12,12
4,13,13
4,14,14
4,15,15
4,16,16
4,17,17
4,18,18
5,0,1
5,0,4
5,1,0
5,1,2
5,2,1
5,2,3
5,3,2
5,3,4
5,3,9
5,4,0
5,4,3
5,4,5
5,5,4
5,5,6
